ETEN / illumiNations principal partners,,
code,name,grouping
abs,American Bible Society,ETEN / illumiNations
biblica,Biblica,ETEN / illumiNations
deaf-bible-society,Deaf Bible Society,ETEN / illumiNations
fcbh,Faith Comes By Hearing (Hosanna!),ETEN / illumiNations
lbt,Lutheran Bible Translators,ETEN / illumiNations
pbt,Pioneer Bible Translators,ETEN / illumiNations
sil,SIL International (or national affiliate),ETEN / illumiNations
seed-company,The Seed Company,ETEN / illumiNations
ubs,United Bible Societies (or member Bible Society),ETEN / illumiNations
unfolding-word,unfoldingWord,ETEN / illumiNations
wycliffe-usa,Wycliffe Bible Translators USA,ETEN / illumiNations
wycliffe-ga,Wycliffe Global Alliance (and members),ETEN / illumiNations
youversion,YouVersion / Life.Church,ETEN / illumiNations
word-for-the-world,Word for the World,ETEN / illumiNations
,,
Additional agencies (categorization pending — Steve to confirm),,
code,name,grouping
wycliffe-associates,Wycliffe Associates (MAST / CCBT mobilization),Additional — pending
,,
Structural categories (non-agency leads),,
code,name,grouping
local-church,Local church or church network,Structural
national-church-body,National denomination / church body,Structural
discipleship-network,Informal discipleship network — not yet a formally constituted church,Structural
community-based,Secular or non-ecclesiastical community group with no formal agency lead,Structural
other-agency,Other translation agency (specify in free text),Structural
